page,category,host,kind,rep,first_arm,width,control_bytes,ablated_bytes,own_bytes,diff_bytes,n_aborted
https://mlb.com/,news,_JOINT,joint,1,ablated,page,100854469,93998090,1473201,5383178,20
https://mlb.com/,news,_JOINT,joint,1,ablated,third_party,23246757,21014185,1473201,759371,20
https://mlb.com/,news,_JOINT,joint,1,ablated,listed,2869147,1112907,1473201,283039,20
https://nbcnews.com/,news,cdn.taboola.com,ablation,0,control,page,8141572,7664852,368177,108543,1
https://nbcnews.com/,news,cdn.taboola.com,ablation,0,control,third_party,5782957,5303828,368177,110952,1
https://nbcnews.com/,news,cdn.taboola.com,ablation,0,control,listed,2214215,1735202,368177,110836,1
https://nbcnews.com/,news,cdn.taboola.com,ablation,1,ablated,page,8043898,7667092,370372,6434,1
https://nbcnews.com/,news,cdn.taboola.com,ablation,1,ablated,third_party,5683712,5306560,370372,6780,1
https://nbcnews.com/,news,cdn.taboola.com,ablation,1,ablated,listed,2114384,1736740,370372,7272,1
https://nbcnews.com/,news,securepubads.g.doubleclick.net,ablation,0,control,page,8148354,7327777,256025,564552,1
https://nbcnews.com/,news,securepubads.g.doubleclick.net,ablation,0,control,third_party,5789445,4965916,256025,567504,1
https://nbcnews.com/,news,securepubads.g.doubleclick.net,ablation,0,control,listed,2220305,1399776,256025,564504,1
https://nbcnews.com/,news,securepubads.g.doubleclick.net,ablation,1,ablated,page,8049206,7327435,254736,467035,1
https://nbcnews.com/,news,securepubads.g.doubleclick.net,ablation,1,ablated,third_party,5687076,4965363,254736,466977,1
https://nbcnews.com/,news,securepubads.g.doubleclick.net,ablation,1,ablated,listed,2118037,1398913,254736,464388,1
https://nbcnews.com/,news,www.lightboxcdn.com,ablation,0,control,page,8039803,8001701,146891,-108789,1
https://nbcnews.com/,news,www.lightboxcdn.com,ablation,0,control,third_party,5680867,5642651,146891,-108675,1
https://nbcnews.com/,news,www.lightboxcdn.com,ablation,0,control,listed,2111500,2073749,146891,-109140,1
